id_venda,data_venda,id_cliente,cliente,segmento,cidade,estado,regiao,id_produto,produto,categoria,id_vendedor,vendedor,quantidade,preco_unitario,desconto_pct,custo_unitario
VDA0006,2025-07-14,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P002,Notebook Air 13,Informática,V002,Carlos Lima,1,2900.00,0.10,2200.00
VDA0042,2025-07-14,C013,Litoral Mídia,PME,Florianópolis,SC,Sul,P003,Monitor 24,Monitores,V003,Beatriz Alves,1,950.00,0.05,670.00
VDA0076,2025-07-14,C007,Nordeste Digital,Corporativo,Recife,PE,Nordeste,P011,HD Externo 2TB,Armazenamento,V005,Juliana Rocha,5,610.00,0.12,390.00
VDA0100,2025-07-14,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P005,Mouse Wireless,Periféricos,V003,Beatriz Alves,2,120.00,0.05,55.00
VDA0130,2025-07-14,C020,Minas Analytics,Corporativo,Uberlândia,MG,Sudeste,P009,Dock USB-C,Acessórios,V002,Carlos Lima,3,420.00,0.05,230.00
VDA0229,2025-07-14,C014,Fortaleza Hub,Corporativo,Fortaleza,CE,Nordeste,P003,Monitor 24,Monitores,V005,Juliana Rocha,4,950.00,0.00,670.00
VDA0092,2025-07-16,C005,SulData,Corporativo,Curitiba,PR,Sul,P004,Monitor 27,Monitores,V003,Beatriz Alves,5,1450.00,0.10,1020.00
VDA0184,2025-07-22,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P002,Notebook Air 13,Informática,V003,Beatriz Alves,1,2900.00,0.05,2200.00
VDA0266,2025-07-22,C001,Alfa Consultoria,Corporativo,Goiânia,GO,Centro-Oeste,P001,Notebook Pro 14,Informática,V001,Ana Souza,4,3500.00,0.00,2650.00
VDA0230,2025-07-23,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P002,Notebook Air 13,Informática,V003,Beatriz Alves,10,2900.00,0.00,2200.00
VDA0017,2025-07-24,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P010,SSD 1TB,Armazenamento,V006,Marcos Silva,3,520.00,0.15,330.00
VDA0014,2025-07-25,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P006,Teclado Mecânico,Periféricos,V005,Juliana Rocha,2,280.00,0.00,145.00
VDA0234,2025-07-25,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P010,SSD 1TB,Armazenamento,V005,Juliana Rocha,4,520.00,0.05,330.00
VDA0037,2025-07-26,C002,Beta Serviços,PME,Brasília,DF,Centro-Oeste,P001,Notebook Pro 14,Informática,V001,Ana Souza,6,3500.00,0.10,2650.00
VDA0075,2025-07-26,C010,Pará Sistemas,PME,Belém,PA,Norte,P006,Teclado Mecânico,Periféricos,V006,Marcos Silva,5,280.00,0.05,145.00
VDA0232,2025-07-27,C014,Fortaleza Hub,Corporativo,Fortaleza,CE,Nordeste,P002,Notebook Air 13,Informática,V005,Juliana Rocha,1,2900.00,0.03,2200.00
VDA0041,2025-07-28,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P003,Monitor 24,Monitores,V002,Carlos Lima,3,950.00,0.00,670.00
VDA0188,2025-07-29,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P011,HD Externo 2TB,Armazenamento,V004,Rafael Martins,1,610.00,0.00,390.00
VDA0159,2025-07-30,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P004,Monitor 27,Monitores,V005,Juliana Rocha,1,1450.00,0.10,1020.00
VDA0155,2025-08-01,C005,SulData,Corporativo,Curitiba,PR,Sul,P005,Mouse Wireless,Periféricos,V003,Beatriz Alves,2,120.00,0.10,55.00
VDA0101,2025-08-04,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P005,Mouse Wireless,Periféricos,V004,Rafael Martins,2,120.00,0.00,55.00
VDA0110,2025-08-04,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P001,Notebook Pro 14,Informática,V001,Ana Souza,8,3500.00,0.00,2650.00
VDA0002,2025-08-05,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P010,SSD 1TB,Armazenamento,V002,Carlos Lima,1,520.00,0.00,330.00
VDA0036,2025-08-05,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P006,Teclado Mecânico,Periféricos,V004,Rafael Martins,3,280.00,0.12,145.00
VDA0214,2025-08-05,C014,Fortaleza Hub,Corporativo,Fortaleza,CE,Nordeste,P011,HD Externo 2TB,Armazenamento,V005,Juliana Rocha,10,610.00,0.10,390.00
VDA0173,2025-08-06,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P011,HD Externo 2TB,Armazenamento,V001,Ana Souza,5,610.00,0.05,390.00
VDA0286,2025-08-06,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P012,Cadeira Office,Mobiliário,V006,Marcos Silva,1,1100.00,0.08,720.00
VDA0288,2025-08-07,C010,Pará Sistemas,PME,Belém,PA,Norte,P010,SSD 1TB,Armazenamento,V006,Marcos Silva,1,520.00,0.05,330.00
VDA0073,2025-08-09,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P006,Teclado Mecânico,Periféricos,V003,Beatriz Alves,1,280.00,0.10,145.00
VDA0097,2025-08-12,C016,Tocantins Agro,PME,Palmas,TO,Norte,P005,Mouse Wireless,Periféricos,V006,Marcos Silva,3,120.00,0.05,55.00
VDA0112,2025-08-12,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P008,Webcam HD,Acessórios,V006,Marcos Silva,8,240.00,0.08,125.00
VDA0258,2025-08-13,C020,Minas Analytics,Corporativo,Uberlândia,MG,Sudeste,P012,Cadeira Office,Mobiliário,V002,Carlos Lima,1,1100.00,0.03,720.00
VDA0179,2025-08-14,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P005,Mouse Wireless,Periféricos,V002,Carlos Lima,1,120.00,0.03,55.00
VDA0240,2025-08-14,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P003,Monitor 24,Monitores,V004,Rafael Martins,1,950.00,0.05,670.00
VDA0284,2025-08-14,C014,Fortaleza Hub,Corporativo,Fortaleza,CE,Nordeste,P012,Cadeira Office,Mobiliário,V005,Juliana Rocha,10,1100.00,0.05,720.00
VDA0059,2025-08-15,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P012,Cadeira Office,Mobiliário,V006,Marcos Silva,4,1100.00,0.05,720.00
VDA0088,2025-08-17,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P009,Dock USB-C,Acessórios,V004,Rafael Martins,10,420.00,0.10,230.00
VDA0245,2025-08-19,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P001,Notebook Pro 14,Informática,V001,Ana Souza,1,3500.00,0.12,2650.00
VDA0209,2025-08-20,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P007,Headset Pro,Periféricos,V003,Beatriz Alves,10,350.00,0.05,190.00
VDA0162,2025-08-22,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P009,Dock USB-C,Acessórios,V002,Carlos Lima,1,420.00,0.00,230.00
VDA0280,2025-08-23,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P002,Notebook Air 13,Informática,V003,Beatriz Alves,1,2900.00,0.00,2200.00
VDA0007,2025-08-24,C020,Minas Analytics,Corporativo,Uberlândia,MG,Sudeste,P001,Notebook Pro 14,Informática,V004,Rafael Martins,4,3500.00,0.15,2650.00
VDA0279,2025-08-26,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P011,HD Externo 2TB,Armazenamento,V002,Carlos Lima,20,610.00,0.05,390.00
VDA0260,2025-08-29,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P005,Mouse Wireless,Periféricos,V005,Juliana Rocha,10,120.00,0.00,55.00
VDA0276,2025-08-29,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P007,Headset Pro,Periféricos,V001,Ana Souza,1,350.00,0.05,190.00
VDA0035,2025-08-31,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P004,Monitor 27,Monitores,V005,Juliana Rocha,8,1450.00,0.00,1020.00
VDA0079,2025-08-31,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P009,Dock USB-C,Acessórios,V002,Carlos Lima,8,420.00,0.15,230.00
VDA0082,2025-09-01,C001,Alfa Consultoria,Corporativo,Goiânia,GO,Centro-Oeste,P004,Monitor 27,Monitores,V001,Ana Souza,5,1450.00,0.10,1020.00
VDA0117,2025-09-01,C016,Tocantins Agro,PME,Palmas,TO,Norte,P012,Cadeira Office,Mobiliário,V006,Marcos Silva,5,1100.00,0.05,720.00
VDA0127,2025-09-02,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P005,Mouse Wireless,Periféricos,V003,Beatriz Alves,1,120.00,0.00,55.00
VDA0122,2025-09-05,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P004,Monitor 27,Monitores,V003,Beatriz Alves,2,1450.00,0.08,1020.00
VDA0153,2025-09-05,C010,Pará Sistemas,PME,Belém,PA,Norte,P007,Headset Pro,Periféricos,V006,Marcos Silva,20,350.00,0.00,190.00
VDA0174,2025-09-05,C010,Pará Sistemas,PME,Belém,PA,Norte,P007,Headset Pro,Periféricos,V006,Marcos Silva,1,350.00,0.05,190.00
VDA0027,2025-09-06,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P012,Cadeira Office,Mobiliário,V002,Carlos Lima,8,1100.00,0.15,720.00
VDA0034,2025-09-06,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P011,HD Externo 2TB,Armazenamento,V005,Juliana Rocha,2,610.00,0.00,390.00
VDA0143,2025-09-09,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P011,HD Externo 2TB,Armazenamento,V005,Juliana Rocha,15,610.00,0.05,390.00
VDA0285,2025-09-12,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P012,Cadeira Office,Mobiliário,V003,Beatriz Alves,3,1100.00,0.10,720.00
VDA0148,2025-09-13,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P010,SSD 1TB,Armazenamento,V001,Ana Souza,5,520.00,0.10,330.00
VDA0181,2025-09-14,C005,SulData,Corporativo,Curitiba,PR,Sul,P009,Dock USB-C,Acessórios,V003,Beatriz Alves,10,420.00,0.10,230.00
VDA0203,2025-09-15,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P008,Webcam HD,Acessórios,V001,Ana Souza,2,240.00,0.08,125.00
VDA0046,2025-09-18,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P001,Notebook Pro 14,Informática,V001,Ana Souza,1,3500.00,0.00,2650.00
VDA0071,2025-09-19,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P010,SSD 1TB,Armazenamento,V004,Rafael Martins,1,520.00,0.12,330.00
VDA0225,2025-09-20,C014,Fortaleza Hub,Corporativo,Fortaleza,CE,Nordeste,P004,Monitor 27,Monitores,V005,Juliana Rocha,1,1450.00,0.05,1020.00
VDA0080,2025-09-21,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P005,Mouse Wireless,Periféricos,V003,Beatriz Alves,5,120.00,0.08,55.00
VDA0273,2025-09-21,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P011,HD Externo 2TB,Armazenamento,V003,Beatriz Alves,4,610.00,0.10,390.00
VDA0247,2025-09-25,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P009,Dock USB-C,Acessórios,V004,Rafael Martins,4,420.00,0.03,230.00
VDA0087,2025-09-29,C005,SulData,Corporativo,Curitiba,PR,Sul,P011,HD Externo 2TB,Armazenamento,V003,Beatriz Alves,20,610.00,0.08,390.00
VDA0221,2025-09-29,C001,Alfa Consultoria,Corporativo,Goiânia,GO,Centro-Oeste,P012,Cadeira Office,Mobiliário,V001,Ana Souza,2,1100.00,0.05,720.00
VDA0109,2025-09-30,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P006,Teclado Mecânico,Periféricos,V002,Carlos Lima,3,280.00,0.03,145.00
VDA0124,2025-10-01,C010,Pará Sistemas,PME,Belém,PA,Norte,P012,Cadeira Office,Mobiliário,V006,Marcos Silva,1,1100.00,0.00,720.00
VDA0164,2025-10-01,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P011,HD Externo 2TB,Armazenamento,V004,Rafael Martins,3,610.00,0.03,390.00
VDA0157,2025-10-03,C016,Tocantins Agro,PME,Palmas,TO,Norte,P008,Webcam HD,Acessórios,V006,Marcos Silva,3,240.00,0.03,125.00
VDA0029,2025-10-04,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P004,Monitor 27,Monitores,V006,Marcos Silva,6,1450.00,0.10,1020.00
VDA0139,2025-10-04,C013,Litoral Mídia,PME,Florianópolis,SC,Sul,P009,Dock USB-C,Acessórios,V003,Beatriz Alves,4,420.00,0.00,230.00
VDA0147,2025-10-05,C013,Litoral Mídia,PME,Florianópolis,SC,Sul,P011,HD Externo 2TB,Armazenamento,V003,Beatriz Alves,3,610.00,0.00,390.00
VDA0096,2025-10-07,C013,Litoral Mídia,PME,Florianópolis,SC,Sul,P009,Dock USB-C,Acessórios,V003,Beatriz Alves,8,420.00,0.12,230.00
VDA0077,2025-10-08,C020,Minas Analytics,Corporativo,Uberlândia,MG,Sudeste,P007,Headset Pro,Periféricos,V004,Rafael Martins,8,350.00,0.03,190.00
VDA0270,2025-10-08,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P003,Monitor 24,Monitores,V006,Marcos Silva,12,950.00,0.08,670.00
VDA0054,2025-10-11,C010,Pará Sistemas,PME,Belém,PA,Norte,P011,HD Externo 2TB,Armazenamento,V006,Marcos Silva,2,610.00,0.10,390.00
VDA0119,2025-10-11,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P008,Webcam HD,Acessórios,V005,Juliana Rocha,4,240.00,0.05,125.00
VDA0213,2025-10-15,C005,SulData,Corporativo,Curitiba,PR,Sul,P010,SSD 1TB,Armazenamento,V003,Beatriz Alves,4,520.00,0.10,330.00
VDA0217,2025-10-15,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P007,Headset Pro,Periféricos,V006,Marcos Silva,15,350.00,0.10,190.00
VDA0176,2025-10-17,C013,Litoral Mídia,PME,Florianópolis,SC,Sul,P001,Notebook Pro 14,Informática,V003,Beatriz Alves,10,3500.00,0.10,2650.00
VDA0239,2025-10-17,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P011,HD Externo 2TB,Armazenamento,V005,Juliana Rocha,5,610.00,0.15,390.00
VDA0131,2025-10-19,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P005,Mouse Wireless,Periféricos,V005,Juliana Rocha,5,120.00,0.08,55.00
VDA0294,2025-10-21,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P002,Notebook Air 13,Informática,V001,Ana Souza,1,2900.00,0.03,2200.00
VDA0083,2025-10-22,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P011,HD Externo 2TB,Armazenamento,V004,Rafael Martins,2,610.00,0.10,390.00
VDA0243,2025-10-25,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P008,Webcam HD,Acessórios,V004,Rafael Martins,4,240.00,0.10,125.00
VDA0094,2025-10-27,C007,Nordeste Digital,Corporativo,Recife,PE,Nordeste,P007,Headset Pro,Periféricos,V005,Juliana Rocha,12,350.00,0.00,190.00
VDA0004,2025-10-29,C014,Fortaleza Hub,Corporativo,Fortaleza,CE,Nordeste,P008,Webcam HD,Acessórios,V005,Juliana Rocha,2,240.00,0.12,125.00
VDA0161,2025-10-30,C002,Beta Serviços,PME,Brasília,DF,Centro-Oeste,P009,Dock USB-C,Acessórios,V001,Ana Souza,2,420.00,0.00,230.00
VDA0048,2025-11-01,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P010,SSD 1TB,Armazenamento,V005,Juliana Rocha,1,520.00,0.00,330.00
VDA0198,2025-11-02,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P003,Monitor 24,Monitores,V005,Juliana Rocha,1,950.00,0.10,670.00
VDA0207,2025-11-02,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P007,Headset Pro,Periféricos,V006,Marcos Silva,4,350.00,0.05,190.00
VDA0262,2025-11-06,C014,Fortaleza Hub,Corporativo,Fortaleza,CE,Nordeste,P004,Monitor 27,Monitores,V005,Juliana Rocha,1,1450.00,0.00,1020.00
VDA0078,2025-11-07,C007,Nordeste Digital,Corporativo,Recife,PE,Nordeste,P010,SSD 1TB,Armazenamento,V005,Juliana Rocha,5,520.00,0.05,330.00
VDA0291,2025-11-08,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P003,Monitor 24,Monitores,V003,Beatriz Alves,5,950.00,0.05,670.00
VDA0274,2025-11-11,C010,Pará Sistemas,PME,Belém,PA,Norte,P001,Notebook Pro 14,Informática,V006,Marcos Silva,3,3500.00,0.05,2650.00
VDA0269,2025-11-12,C005,SulData,Corporativo,Curitiba,PR,Sul,P008,Webcam HD,Acessórios,V003,Beatriz Alves,1,240.00,0.00,125.00
VDA0051,2025-11-15,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P008,Webcam HD,Acessórios,V002,Carlos Lima,20,240.00,0.15,125.00
VDA0238,2025-11-18,C005,SulData,Corporativo,Curitiba,PR,Sul,P003,Monitor 24,Monitores,V003,Beatriz Alves,4,950.00,0.10,670.00
VDA0128,2025-11-19,C016,Tocantins Agro,PME,Palmas,TO,Norte,P010,SSD 1TB,Armazenamento,V006,Marcos Silva,5,520.00,0.00,330.00
VDA0150,2025-11-19,C016,Tocantins Agro,PME,Palmas,TO,Norte,P001,Notebook Pro 14,Informática,V006,Marcos Silva,4,3500.00,0.00,2650.00
VDA0171,2025-11-23,C005,SulData,Corporativo,Curitiba,PR,Sul,P008,Webcam HD,Acessórios,V003,Beatriz Alves,2,240.00,0.00,125.00
VDA0290,2025-11-23,C002,Beta Serviços,PME,Brasília,DF,Centro-Oeste,P011,HD Externo 2TB,Armazenamento,V001,Ana Souza,3,610.00,0.05,390.00
VDA0099,2025-11-26,C013,Litoral Mídia,PME,Florianópolis,SC,Sul,P002,Notebook Air 13,Informática,V003,Beatriz Alves,3,2900.00,0.12,2200.00
VDA0204,2025-11-26,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P008,Webcam HD,Acessórios,V001,Ana Souza,15,240.00,0.00,125.00
VDA0246,2025-11-27,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P009,Dock USB-C,Acessórios,V002,Carlos Lima,1,420.00,0.00,230.00
VDA0292,2025-11-27,C005,SulData,Corporativo,Curitiba,PR,Sul,P004,Monitor 27,Monitores,V003,Beatriz Alves,3,1450.00,0.05,1020.00
VDA0152,2025-11-28,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P002,Notebook Air 13,Informática,V004,Rafael Martins,8,2900.00,0.05,2200.00
VDA0030,2025-11-29,C010,Pará Sistemas,PME,Belém,PA,Norte,P011,HD Externo 2TB,Armazenamento,V006,Marcos Silva,3,610.00,0.12,390.00
VDA0040,2025-11-30,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P001,Notebook Pro 14,Informática,V003,Beatriz Alves,20,3500.00,0.10,2650.00
VDA0142,2025-11-30,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P009,Dock USB-C,Acessórios,V003,Beatriz Alves,3,420.00,0.00,230.00
VDA0160,2025-11-30,C013,Litoral Mídia,PME,Florianópolis,SC,Sul,P011,HD Externo 2TB,Armazenamento,V003,Beatriz Alves,20,610.00,0.05,390.00
VDA0244,2025-11-30,C002,Beta Serviços,PME,Brasília,DF,Centro-Oeste,P010,SSD 1TB,Armazenamento,V001,Ana Souza,2,520.00,0.08,330.00
VDA0015,2025-12-02,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P004,Monitor 27,Monitores,V005,Juliana Rocha,4,1450.00,0.12,1020.00
VDA0218,2025-12-03,C020,Minas Analytics,Corporativo,Uberlândia,MG,Sudeste,P010,SSD 1TB,Armazenamento,V002,Carlos Lima,8,520.00,0.00,330.00
VDA0220,2025-12-03,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P010,SSD 1TB,Armazenamento,V003,Beatriz Alves,3,520.00,0.00,330.00
VDA0028,2025-12-04,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P003,Monitor 24,Monitores,V003,Beatriz Alves,3,950.00,0.05,670.00
VDA0178,2025-12-04,C007,Nordeste Digital,Corporativo,Recife,PE,Nordeste,P011,HD Externo 2TB,Armazenamento,V005,Juliana Rocha,5,610.00,0.00,390.00
VDA0224,2025-12-05,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P008,Webcam HD,Acessórios,V004,Rafael Martins,3,240.00,0.08,125.00
VDA0145,2025-12-06,C014,Fortaleza Hub,Corporativo,Fortaleza,CE,Nordeste,P005,Mouse Wireless,Periféricos,V005,Juliana Rocha,12,120.00,0.10,55.00
VDA0226,2025-12-08,C010,Pará Sistemas,PME,Belém,PA,Norte,P009,Dock USB-C,Acessórios,V006,Marcos Silva,2,420.00,0.00,230.00
VDA0104,2025-12-09,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P008,Webcam HD,Acessórios,V005,Juliana Rocha,1,240.00,0.15,125.00
VDA0050,2025-12-10,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P003,Monitor 24,Monitores,V006,Marcos Silva,5,950.00,0.05,670.00
VDA0144,2025-12-10,C014,Fortaleza Hub,Corporativo,Fortaleza,CE,Nordeste,P006,Teclado Mecânico,Periféricos,V005,Juliana Rocha,1,280.00,0.00,145.00
VDA0253,2025-12-10,C005,SulData,Corporativo,Curitiba,PR,Sul,P011,HD Externo 2TB,Armazenamento,V003,Beatriz Alves,3,610.00,0.03,390.00
VDA0185,2025-12-11,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P011,HD Externo 2TB,Armazenamento,V004,Rafael Martins,2,610.00,0.05,390.00
VDA0172,2025-12-13,C001,Alfa Consultoria,Corporativo,Goiânia,GO,Centro-Oeste,P005,Mouse Wireless,Periféricos,V001,Ana Souza,4,120.00,0.00,55.00
VDA0183,2025-12-13,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P004,Monitor 27,Monitores,V002,Carlos Lima,6,1450.00,0.15,1020.00
VDA0062,2025-12-16,C002,Beta Serviços,PME,Brasília,DF,Centro-Oeste,P004,Monitor 27,Monitores,V001,Ana Souza,2,1450.00,0.00,1020.00
VDA0169,2025-12-16,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P010,SSD 1TB,Armazenamento,V001,Ana Souza,8,520.00,0.00,330.00
VDA0170,2025-12-16,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P010,SSD 1TB,Armazenamento,V004,Rafael Martins,2,520.00,0.12,330.00
VDA0205,2025-12-18,C016,Tocantins Agro,PME,Palmas,TO,Norte,P007,Headset Pro,Periféricos,V006,Marcos Silva,1,350.00,0.10,190.00
VDA0211,2025-12-18,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P003,Monitor 24,Monitores,V006,Marcos Silva,12,950.00,0.00,670.00
VDA0060,2025-12-20,C001,Alfa Consultoria,Corporativo,Goiânia,GO,Centro-Oeste,P002,Notebook Air 13,Informática,V001,Ana Souza,10,2900.00,0.05,2200.00
VDA0167,2025-12-22,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P003,Monitor 24,Monitores,V004,Rafael Martins,2,950.00,0.00,670.00
VDA0043,2025-12-23,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P007,Headset Pro,Periféricos,V004,Rafael Martins,12,350.00,0.15,190.00
VDA0251,2025-12-24,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P011,HD Externo 2TB,Armazenamento,V001,Ana Souza,5,610.00,0.00,390.00
VDA0120,2025-12-26,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P006,Teclado Mecânico,Periféricos,V003,Beatriz Alves,3,280.00,0.03,145.00
VDA0208,2025-12-26,C020,Minas Analytics,Corporativo,Uberlândia,MG,Sudeste,P002,Notebook Air 13,Informática,V004,Rafael Martins,1,2900.00,0.08,2200.00
VDA0072,2025-12-29,C007,Nordeste Digital,Corporativo,Recife,PE,Nordeste,P001,Notebook Pro 14,Informática,V005,Juliana Rocha,3,3500.00,0.05,2650.00
